state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48003271963  17.15  40.19  45.88  50.63  63.66  72.27  82.78  81.55  72.86  64.17  43.68  25.56
48003271964  26.58  29.79  35.89  51.53  62.55  68.27  85.26  76.30  66.72  58.95  37.90  26.53
48003271965  34.43  31.69  29.68  53.71  58.37  70.50  80.44  76.57  53.71  61.79  46.02  35.13
48003271966  28.76  34.75  46.62  48.09  68.56  71.73  86.38  77.23  72.21  55.06  39.76  31.82
48003271967  30.83  34.65  42.57  50.41  58.46  65.70  80.82  80.80  69.71  56.30  40.23  25.63
48003271968  23.09  36.01  48.42  48.96  58.68  69.21  80.83  73.20  66.51  57.20  38.73  23.88
48003271969  23.02  33.03  39.25  58.26  66.52  65.79  80.98  84.52  73.26  45.25  41.52  33.44
48003271970  27.97  41.68  37.49  44.08  62.65  74.79  82.36  84.34  62.85  50.95  40.06  28.22
48003271971  25.63  31.82  40.87  51.57  62.29  75.02  79.47  85.39  64.40  48.83  38.93  28.51
48003271972  22.08  35.47  49.91  53.20  61.21  75.13  77.00  77.68  64.62  53.13  37.45  19.04
48003271973  21.83  33.10  42.67  46.04  61.72  73.36  78.84  80.56  62.76  58.48  37.63  34.59
48003271974  25.57  40.62  45.75  54.97  60.22  77.00  84.07  74.73  66.54  59.23  41.07  32.07
48003271975  26.65  26.65  38.68  42.46  56.95  68.02  82.87  77.90  69.48  54.09  37.74  31.86
48003271976  26.47  34.93  39.81  54.50  66.15  71.87  85.01  78.76  70.03  53.85  42.55  31.39
48003271977  22.69  38.44  41.54  57.88  64.89  79.00  81.93  74.89  69.10  57.88  40.17  28.60
48003271978  18.81  23.79  41.92  54.50  58.42  73.56  79.09  77.31  69.69  57.92  28.31  16.74
48003271979   6.75  26.92  43.02  52.74  61.23  73.90  82.04  76.98  75.33  58.84  35.06  37.45
48003271980  23.94  33.21  40.32  57.69  64.06  74.62  83.34  75.51  68.76  56.25  41.99  38.07
48003271981  40.51  37.90  48.90  57.16  58.87  71.76  82.26  81.52  72.95  51.89  46.85  32.88
48003271982  24.53  32.77  43.32  51.22  59.67  68.95  79.18  82.62  63.61  52.57  36.91  28.35
48003271983  36.16  41.40  45.99  48.69  57.92  71.01  82.83  84.63  68.02  57.18  38.46  13.93
48003271984  27.93  36.59  43.20  50.90  62.33  71.26  82.36  82.92  63.61  52.09  42.26  25.00
48003271985  22.24  29.12  44.28  59.07  68.25  73.26  83.52  76.75  61.41  54.41  22.19  26.04
48003271986  34.03  32.83  53.51  53.74  63.46  79.36  78.51  80.37  60.26  55.33  36.61  33.21
48003271987  28.96  39.49  43.93  64.80  67.26  75.88  78.62  75.56  70.97  57.92  43.79  33.91
48003271988  27.81  36.66  45.18  58.57  67.10  84.31  85.75  81.18  66.65  61.83  41.00  31.78
48003271989  29.80  20.05  42.17  55.45  63.97  73.20  86.04  79.32  68.95  54.72  43.30  26.15
48003271990  32.02  35.08  44.80  54.45  60.73  74.30  81.19  81.21  75.33  55.02  44.96  22.26
48003271991  23.94  43.03  45.52  49.48  61.59  74.25  83.19  83.61  67.87  54.00  33.84  33.57
48003271992  35.24  44.44  51.48  58.03  67.50  72.54  74.05  77.49  69.39  58.17  37.13  24.21
48003271993  23.18  26.94  44.69  52.65  65.82  67.86  72.23  74.98  65.59  53.53  34.84  34.00
48003271994  33.87  30.76  47.39  55.47  69.75  75.94  81.50  82.60  72.55  52.07  37.35  35.73
48003271995  32.76  38.66  43.03  49.46  57.99  70.29  79.68  83.97  67.86  51.21  42.10  34.66
48003271996  23.92  32.76  36.21  54.46  58.19  77.41  83.01  82.54  66.22  55.63  36.64  28.00
48003271997  25.45  34.09  47.26  48.24  64.90  74.50  78.21  78.28  71.55  55.72  41.40  31.73
48003271998  29.86  37.49  41.20  54.64  66.63  64.24  85.10  80.96  74.52  56.77  43.43  31.78
48003271999  34.36  41.79  51.06  50.86  60.37  71.47  83.32  82.20  65.44  59.97  52.99  34.27
48003272000  31.73  40.23  49.15  57.47  64.65  73.74  85.68  84.20  69.33  55.78  30.06  29.37
48003272001  31.68  28.45  45.99  55.15  67.95  75.20  85.19  85.48  73.45  55.27  47.07  31.78
48003272002  29.91  35.31  37.24  52.92  63.10  76.60  86.95  77.81  69.69  48.87  41.27  31.39
48003272003  36.00  31.26  42.49  58.75  63.36  70.74  87.62  84.72  67.41  61.56  36.34  35.64
48003272004  27.43  36.84  51.10  57.29  62.65  70.18  79.88  76.42  68.02  55.74  43.92  36.97
48003272005  32.18  40.66  46.72  54.54  60.85  72.48  84.92  78.53  70.36  58.15  43.83  29.93
48003272006  39.02  34.83  46.24  59.85  67.01  79.14  87.57  81.70  67.01  52.29  43.90  33.94
48003272007  28.06  33.13  52.00  53.94  66.34  77.65  87.84  82.33  70.54  56.55  44.69  28.26
48003272008  27.52  36.72  42.48  50.92  59.90  71.38  83.59  81.82  66.36  55.09  46.78  27.27
48003272009  31.23  37.44  44.20  52.66  65.01  68.41  79.16  77.61  75.27  45.48  47.05  22.96
48003272010  31.89  33.64  50.41  53.82  57.58  71.10  81.45  80.15  72.28  61.81  38.30  30.88
48003272011  27.68  26.80  44.42  49.42  55.87  71.46  85.35  83.08  73.89  58.48  40.32  31.93
48003272012  36.66  35.38  55.22  59.76  63.90  79.34  87.35  83.19  74.55  53.83  45.03  32.34
48003272013  29.61  31.98  45.00  49.19  64.85  76.55  84.40  83.64  70.77  50.04  41.81  27.57
48003272014  32.45  25.47  42.80  53.53  64.81  70.63  83.48  77.04  70.45  62.28  36.30  31.35
48003272015  32.07  39.47  51.93  56.46  59.74  79.09  80.17  80.74  76.10  62.04  40.46  31.77
48003272016  34.30  44.65  50.05  56.98  63.55  82.27  83.88  81.19  69.12  58.24  50.41  25.32
