state_fips_year  jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec
48003021944  17.02  17.83  26.56  42.42  52.59  55.80  64.51  63.86  54.63  46.76  28.45  16.07
48003021945  17.42  21.88  30.72  36.09  49.21  54.39  66.69  64.99  50.79  46.35  29.53  17.10
48003021946  21.20  23.38  36.68  48.34  47.23  59.90  68.63  63.45  53.04  39.33  28.76  24.42
48003021947  17.33  21.16  27.14  39.88  51.75  55.26  68.58  66.49  55.45  47.61  22.86  19.87
48003021948  18.97  16.95  26.46  43.00  53.20  60.17  65.30  64.81  57.31  43.18  27.63  16.27
48003021949   3.88  13.03  28.94  46.40  52.86  58.78  67.03  66.87  53.22  37.11  37.69  19.71
48003021950   6.49  25.90  27.57  38.91  44.83  57.20  62.85  62.11  52.70  47.17  27.52  20.71
48003021951  13.37  25.18  24.37  37.89  52.27  52.81  65.50  63.19  50.76  40.84  28.13  15.85
48003021952  14.04  23.31  26.44  44.55  51.96  62.28  64.90  64.81  57.83  44.58  24.66  22.37
48003021953  29.75  25.66  33.64  35.96  45.84  59.81  69.98  65.89  56.61  46.51  35.01  24.46
48003021954  18.79  33.91  25.12  40.77  49.98  57.56  70.39  64.31  56.14  41.38  35.91  23.61
48003021955  20.75  18.59  22.32  39.76  51.15  57.51  67.87  67.80  54.12  45.86  19.40  18.18
48003021956  18.86  16.81  29.73  38.19  52.57  64.09  66.09  61.86  55.17  45.23  27.75  21.11
48003021957   4.82  22.73  31.50  37.56  50.95  57.42  68.47  65.91  52.30  41.85  25.41  28.38
48003021958  24.33  24.46  29.55  39.27  57.27  58.24  61.88  66.81  55.85  44.29  28.20  20.01
48003021959  17.46  17.17  32.45  38.98  46.65  63.30  66.00  65.19  53.08  40.51  21.07  22.62
48003021960  19.04  20.39  30.85  40.86  51.10  61.03  69.57  63.57  55.42  44.56  29.19  19.74
48003021961  19.74  29.57  34.11  38.55  50.99  64.31  67.77  67.51  48.11  40.41  24.91  17.26
48003021962   7.70  20.80  28.17  43.79  50.59  59.54  64.31  62.78  54.43  46.81  33.71  25.45
48003021963   7.38  30.54  33.22  39.06  51.48  59.47  67.48  67.03  59.97  50.02  32.85  16.32
48003021964  17.20  20.17  25.16  39.67  50.74  57.06  69.96  62.26  52.50  44.29  27.64  17.47
48003021965  26.11  20.59  18.73  42.33  47.61  57.99  66.51  63.18  44.04  47.28  34.32  24.42
48003021966  18.55  23.04  32.92  37.22  53.35  58.69  70.92  63.36  58.98  41.85  29.23  22.44
48003021967  22.03  25.12  30.92  38.89  47.61  55.65  66.92  65.53  57.11  43.99  28.94  16.27
48003021968  12.47  26.31  36.07  36.81  46.96  57.38  65.91  60.78  53.15  43.36  28.22  14.90
48003021969  11.82  22.84  27.95  45.16  52.56  54.48  66.33  68.05  57.70  35.87  30.74  23.76
48003021970  18.41  29.35  27.46  34.50  50.68  61.00  67.55  68.00  49.71  38.57  29.79  17.76
48003021971  17.26  22.80  30.06  40.06  50.88  61.21  64.31  69.93  51.06  39.00  29.55  18.90
48003021972  12.45  25.45  38.01  40.62  49.30  61.84  62.51  64.40  51.64  41.67  27.88   9.90
48003021973  11.95  20.86  31.89  35.33  48.74  60.19  65.46  65.84  51.78  45.50  28.20  24.87
48003021974  15.94  28.76  33.03  42.44  47.70  62.51  69.19  60.87  51.17  45.00  31.08  21.94
48003021975  17.47  15.58  28.56  32.56  46.42  55.87  69.31  62.91  53.91  42.28  27.10  22.53
48003021976  16.88  25.03  27.68  42.22  53.01  58.57  69.91  64.36  56.30  41.09  30.42  20.89
48003021977  12.31  27.57  30.15  44.60  52.43  65.07  67.62  62.10  55.26  44.51  28.42  18.75
48003021978  10.42  14.86  30.79  43.12  47.84  59.16  65.44  62.67  55.58  43.84  17.98   6.82
48003021979  -2.78  15.57  32.02  40.60  49.59  59.63  67.37  64.67  59.16  45.77  25.30  25.29
48003021980  13.60  22.89  29.35  44.33  52.21  60.57  68.00  61.77  55.29  43.39  31.86  27.97
48003021981  28.67  26.11  35.83  44.44  49.03  58.60  67.12  66.25  57.79  40.73  34.57  22.60
48003021982  13.68  21.67  31.82  38.26  47.71  57.04  65.89  67.68  52.45  41.47  27.39  20.48
48003021983  26.80  31.05  35.28  37.71  46.31  58.46  67.59  70.77  54.55  44.76  29.50   5.36
48003021984  18.27  26.15  33.39  39.11  50.09  58.48  68.31  68.16  50.22  39.58  30.88  13.33
48003021985  11.55  16.70  31.39  44.83  54.43  59.58  69.17  62.56  49.75  41.27  13.55  16.05
48003021986  23.81  22.95  40.68  41.88  50.02  65.23  64.56  65.52  50.05  43.43  27.14  22.69
48003021987  18.72  29.93  33.48  48.47  55.15  62.20  65.52  61.86  56.21  43.48  33.40  23.27
48003021988  16.68  24.28  33.37  44.37  53.56  69.08  70.03  65.23  53.28  47.10  30.70  21.31
48003021989  18.07   9.48  30.27  42.35  51.17  59.50  70.83  64.65  54.84  43.09  32.61  17.01
48003021990  22.48  23.63  33.33  42.85  48.60  60.28  66.92  66.67  60.62  42.06  33.66  11.21
48003021991  14.36  32.32  33.26  39.13  50.74  60.82  68.36  68.54  55.18  41.20  25.25  23.65
48003021992  23.97  32.32  39.22  45.55  54.03  60.53  61.56  62.91  54.39  44.94  28.17  14.45
48003021993  12.90  15.48  33.30  40.96  53.67  56.17  59.47  61.12  52.12  41.74  24.40  24.37
48003021994  23.99  19.58  34.95  42.42  55.99  61.81  66.70  67.53  58.06  41.61  26.98  25.50
48003021995  22.51  27.91  32.00  38.05  46.96  57.81  65.32  67.91  54.88  39.85  32.41  24.08
48003021996  14.23  21.72  26.38  42.06  47.82  62.60  67.93  66.61  53.38  43.27  26.96  18.77
48003021997  16.39  24.87  34.38  36.07  51.96  62.13  65.37  65.08  58.14  43.57  30.15  22.44
48003021998  19.78  27.82  30.45  42.37  52.92  53.60  70.77  67.17  61.59  45.27  34.50  21.47
48003021999  25.23  31.05  37.04  39.78  49.08  58.75  67.62  67.64  51.96  45.82  39.67  24.51
48003022000  21.76  29.93  36.55  44.10  52.74  59.85  70.14  68.67  55.24  43.92  19.62  19.09
48003022001  20.62  17.56  34.48  43.16  54.10  61.56  70.83  69.84  59.47  43.00  35.37  21.67
48003022002  20.07  23.61  25.79  40.17  49.44  62.40  71.62  63.18  56.43  37.38  30.45  21.81
48003022003  25.86  21.00  32.14  45.55  51.08  58.32  72.00  70.27  53.67  47.39  24.93  25.48
48003022004  17.31  25.88  38.48  44.31  50.29  57.63  66.18  62.47  55.17  44.31  32.41  26.22
48003022005  22.01  27.90  34.50  42.10  49.46  59.29  69.60  64.11  56.25  46.00  32.99  20.43
48003022006  28.85  23.34  33.12  46.08  53.04  64.15  72.14  66.61  54.37  41.16  32.45  23.52
48003022007  16.57  23.11  39.27  42.19  53.11  63.21  73.51  67.86  56.64  44.73  33.28  18.28
48003022008  16.54  25.75  30.63  37.18  48.96  58.21  68.41  66.52  53.20  43.18  36.64  16.21
48003022009  20.95  26.37  31.60  40.59  51.82  56.97  65.26  63.63  59.85  35.55  34.23  12.78
48003022010  21.24  23.04  37.22  41.41  46.04  59.16  67.06  65.57  57.06  48.85  27.88  21.29
48003022011  18.37  16.21  33.48  38.37  46.47  58.48  70.16  67.93  58.48  47.01  29.19  21.42
48003022012  25.52  25.12  41.47  46.35  50.77  64.06  72.45  67.55  58.98  41.61  33.75  22.15
48003022013  18.68  21.06  32.70  36.86  52.65  62.33  70.23  69.10  59.05  39.63  30.94  17.26
48003022014  21.88  15.15  32.04  41.23  52.29  58.24  68.85  64.87  56.84  48.22  24.93  22.42
48003022015  22.53  29.71  38.70  43.23  49.66  65.80  66.42  65.86  60.73  49.53  29.61  21.78
48003022016  24.31  32.63  37.26  45.41  51.48  66.88  68.81  66.56  56.82  46.94  39.22  14.58
48003022017  12.67  27.37  41.00  43.03  52.38  62.71  71.73  65.70  55.58  42.39  33.58  21.78
48003022018  23.02  14.88  34.07  41.14  55.49  62.17  69.67  65.19  56.97  42.48  29.75  22.03
48003022019  23.11  15.19  29.17  43.70  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN
48005021895  15.01  15.13  28.51  46.29  49.46  56.80  65.97  65.82  56.03  43.68  27.10  20.82
48005021896  21.31  27.19  24.91  41.00  52.21  63.48  68.47  67.15  52.59  42.89  17.58  30.79
48005021897  16.97  19.87  22.78  41.14  55.94  59.99  67.24  65.28  63.39  46.06  26.01  19.20
48005021898  18.23  28.02  24.48  42.64  49.10  61.92  68.56  69.53  56.52  39.47  25.66  19.67
48005021899  18.39   5.14  18.91  40.06  50.16  59.90  67.98  66.60  59.61  42.71  38.12  21.06
48005021900  26.49  20.16  32.04  47.16  59.00  69.01  69.49  70.18  56.61  47.44  29.23  28.99
48005021901  24.03  17.85  32.05  44.26  58.96  58.08  73.08  69.15  54.63  49.59  36.95  23.77
48005021902  21.56  26.60  31.95  39.60  54.23  59.45  65.93  66.63  54.61  47.30  32.94  21.25
48005021903  24.93  14.02  29.37  42.57  49.62  60.85  66.72  66.88  52.39  46.62  29.34  25.12
48005021904  20.75  20.10  31.15  43.48  51.30  58.35  65.39  66.34  56.79  50.02  38.32  24.62
