,date,max_temp,min_temp,avg_temp
537,1939-10-01,50.45,29.93,40.19
538,1939-11-01,46.08,18.5,32.29
539,1939-12-01,35.85,19.49,27.66
540,1940-01-01,23.74,4.32,14.02
541,1940-02-01,31.57,14.45,23.0
542,1940-03-01,41.74,20.03,30.88
543,1940-04-01,46.69,25.99,36.34
544,1940-05-01,61.86,34.05,47.95
545,1940-06-01,71.1,41.72,56.41
546,1940-07-01,77.0,48.18,62.6
547,1940-08-01,77.29,45.07,61.2
548,1940-09-01,66.09,42.75,54.43
549,1940-10-01,54.25,32.27,43.27
550,1940-11-01,31.51,13.48,22.5
551,1940-12-01,31.33,14.59,22.96
552,1941-01-01,30.63,12.29,21.45
553,1941-02-01,36.21,11.34,23.77
554,1941-03-01,39.61,17.8,28.71
555,1941-04-01,46.13,25.05,35.6
556,1941-05-01,60.17,35.89,48.04
557,1941-06-01,65.64,42.03,53.83
558,1941-07-01,74.57,48.27,61.41
559,1941-08-01,70.0,47.25,58.64
560,1941-09-01,55.02,34.54,44.78
561,1941-10-01,47.93,27.21,37.58
562,1941-11-01,38.44,20.03,29.23
563,1941-12-01,29.46,14.27,21.87
564,1942-01-01,24.33,4.75,14.54
565,1942-02-01,25.97,3.0,14.49
566,1942-03-01,36.55,12.58,24.57
567,1942-04-01,51.19,27.3,39.24
568,1942-05-01,51.67,31.15,41.41
569,1942-06-01,62.6,37.54,50.09
570,1942-07-01,77.0,45.28,61.14
571,1942-08-01,73.69,43.72,58.69
572,1942-09-01,61.9,36.37,49.14
573,1942-10-01,50.52,27.32,38.93
574,1942-11-01,34.32,17.02,25.66
575,1942-12-01,29.53,13.75,21.65
576,1943-01-01,23.59,1.74,12.67
577,1943-02-01,34.0,10.54,22.26
578,1943-03-01,32.11,6.31,19.2
579,1943-04-01,54.28,30.13,42.21
580,1943-05-01,52.12,30.36,41.25
581,1943-06-01,61.74,38.14,49.95
582,1943-07-01,76.69,46.0,61.36
583,1943-08-01,74.97,44.4,59.68
584,1943-09-01,65.64,36.3,50.97
585,1943-10-01,53.94,30.94,42.44
586,1943-11-01,40.51,20.97,30.74
587,1943-12-01,32.05,11.73,21.9
588,1944-01-01,28.71,7.95,18.32
589,1944-02-01,30.51,8.74,19.63
590,1944-03-01,33.67,11.03,22.35
591,1944-04-01,47.61,25.52,36.57
592,1944-05-01,58.53,34.43,46.49
