date,dtype,temp
1920-11-01,max,31.82
1920-11-01,avg,23.74
1920-11-01,min,15.67
1920-12-01,max,26.73
1920-12-01,avg,19.24
1920-12-01,min,11.75
1921-01-01,max,30.38
1921-01-01,avg,20.8
1921-01-01,min,11.25
1921-02-01,max,35.08
1921-02-01,avg,23.97
1921-02-01,min,12.87
1921-03-01,max,38.89
1921-03-01,avg,28.26
1921-03-01,min,17.62
1921-04-01,max,44.74
1921-04-01,avg,33.49
1921-04-01,min,22.24
1921-05-01,max,54.45
1921-05-01,avg,44.47
1921-05-01,min,34.5
1921-06-01,max,70.39
1921-06-01,avg,57.33
1921-06-01,min,44.24
1921-07-01,max,77.61
1921-07-01,avg,62.19
1921-07-01,min,46.74
1921-08-01,max,73.63
1921-08-01,avg,59.05
1921-08-01,min,44.46
1921-09-01,max,58.37
1921-09-01,avg,46.26
1921-09-01,min,34.12
1921-10-01,max,56.03
1921-10-01,avg,42.82
1921-10-01,min,29.61
1921-11-01,max,36.82
1921-11-01,avg,27.66
1921-11-01,min,18.52
1921-12-01,max,27.19
1921-12-01,avg,18.66
1921-12-01,min,10.13
1922-01-01,max,18.34
1922-01-01,avg,9.27
1922-01-01,min,0.21
1922-02-01,max,21.92
1922-02-01,avg,10.87
1922-02-01,min,-0.18
1922-03-01,max,36.39
1922-03-01,avg,25.07
1922-03-01,min,13.75
1922-04-01,max,42.6
1922-04-01,avg,32.07
1922-04-01,min,21.56
1922-05-01,max,54.72
1922-05-01,avg,43.66
1922-05-01,min,32.59
1922-06-01,max,71.46
1922-06-01,avg,56.55
1922-06-01,min,41.61
1922-07-01,max,73.4
1922-07-01,avg,59.04
1922-07-01,min,44.69
1922-08-01,max,75.04
1922-08-01,avg,61.57
1922-08-01,min,48.11
1922-09-01,max,67.71
1922-09-01,avg,52.95
1922-09-01,min,38.19
1922-10-01,max,54.16
1922-10-01,avg,41.25
1922-10-01,min,28.35
1922-11-01,max,32.59
1922-11-01,avg,23.99
1922-11-01,min,15.37
1922-12-01,max,23.72
1922-12-01,avg,15.17
1922-12-01,min,6.64
1923-01-01,max,29.57
1923-01-01,avg,21.56
1923-01-01,min,13.57
1923-02-01,max,27.3
1923-02-01,avg,14.85
1923-02-01,min,2.39
1923-03-01,max,33.84
1923-03-01,avg,22.08
1923-03-01,min,10.36
1923-04-01,max,45.03
1923-04-01,avg,33.57
1923-04-01,min,22.1
1923-05-01,max,56.17
1923-05-01,avg,44.67
1923-05-01,min,33.17
1923-06-01,max,64.31
1923-06-01,avg,52.0
1923-06-01,min,39.67
1923-07-01,max,76.5
1923-07-01,avg,63.36
1923-07-01,min,50.22
1923-08-01,max,69.85
1923-08-01,avg,56.8
1923-08-01,min,43.72
1923-09-01,max,63.23
1923-09-01,avg,50.27
1923-09-01,min,37.29
